game_status,dealer_total,dealer_cards,player_name,player_total,player_cards,player_wager,player_balance,running_count,deck_remaining_percent,true_count,remaining_cards
Tie,20,jack 10 ,player1,20,queen king ,100,-500,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
player wins,20,jack 10 ,computer,21,4 2 5 king ,100,1600,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
Tie,20,jack 10 ,player1,20,queen king ,100,-500,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
player wins,20,jack 10 ,computer,21,4 2 5 king ,100,1700,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
Tie,20,jack 10 ,player1,20,queen king ,100,-500,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
player wins,20,jack 10 ,computer,21,4 2 5 king ,100,1800,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
Tie,20,jack 10 ,player1,20,queen king ,100,-500,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
player wins,20,jack 10 ,computer,21,4 2 5 king ,100,1900,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
Tie,20,jack 10 ,player1,20,queen king ,100,-500,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
player bust,20,10 jack ,computer,23,7 6 king ,100,1800,-5,0.7307692307692308,-6.842105263157894,",8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
blackjack,20,10 jack ,player1,21,ace jack ,100,-300,-5,0.7307692307692308,-6.842105263157894,",8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
player bust,24,7 9 8 ,computer,26,3 8 5 10 ,100,-100,1,0.8846153846153846,1.1304347826086958,",ace,7,6,jack,10,7,queen,7,jack,5,10,5,king,2,6,5,king,4,6,3,jack,ace,3,king,queen,ace,4,4,8,3,king,8,6,queen,2,9,jack,4,ace,9"
player bust,24,7 9 8 ,player1,24,2 queen 2 10 ,100,-100,1,0.8846153846153846,1.1304347826086958,",ace,7,6,jack,10,7,queen,7,jack,5,10,5,king,2,6,5,king,4,6,3,jack,ace,3,king,queen,ace,4,4,8,3,king,8,6,queen,2,9,jack,4,ace,9"
